source,target,length,length_norm,D_final,D_max,Q_final
0,1,1,1.0,1.0,1.0,0.9999776126931526
0,4,1,1.0,0.36980191259529493,1.0,1.1467216791730032e-05
0,16,1,1.0,0.3697984639231612,1.0,1.0920090055043552e-05
1,2,1,1.0,0.6,0.6,0.2777748123012696
1,5,1,1.0,0.22187917125096376,0.6,6.566729474854813e-06
1,17,1,1.0,0.6,0.6,0.7221962336624053
4,5,1,1.0,1e-06,0.0,9.999762137073756e-07
4,8,1,1.0,1e-06,0.0,5.233539032028151e-06
4,20,1,1.0,1e-06,0.0,5.233701547259418e-06
16,17,1,1.0,1e-06,0.0,2.203608767501004e-06
16,20,1,1.0,1e-06,0.0,5.23370301171352e-06
16,32,1,1.0,1e-06,0.0,3.4827782767572825e-06
2,3,1,1.0,0.36796499644611286,1.0,2.6479608820528033e-06
2,6,1,1.0,0.36757037607965354,1.0,5.7644850666926505e-06
2,18,1,1.0,1.0,1.0,0.2777663998553219
5,6,1,1.0,1e-06,0.0,4.629442462723725e-07
5,9,1,1.0,1e-06,0.0,4.233544558107878e-06
5,21,1,1.0,1e-06,0.0,2.8702168839255372e-06
17,18,1,1.0,0.6,0.6,-0.2777615814479425
17,21,1,1.0,0.6,0.6,0.9999514767516059
17,33,1,1.0,0.22189162023873932,0.6,8.541967508589487e-06
3,7,1,1.0,1e-06,0.0,1.3055445709666547e-06
3,19,1,1.0,1e-06,0.0,1.3424163109818439e-06
6,7,1,1.0,1e-06,0.0,1.3055361693717753e-06
6,10,1,1.0,1e-06,0.0,2.5145322492606225e-06
6,22,1,1.0,1e-06,0.0,2.407360894850815e-06
18,19,1,1.0,1e-06,0.0,1.0646570353997138e-06
18,22,1,1.0,1e-06,0.0,2.1296100208635647e-06
18,34,1,1.0,1e-06,0.0,1.6241403231632807e-06
7,11,1,1.0,1e-06,0.0,1.5092542937992004e-06
7,23,1,1.0,1e-06,0.0,1.1018264465392358e-06
19,23,1,1.0,1e-06,0.0,1.0649547065240466e-06
19,35,1,1.0,1e-06,0.0,1.3421186398575129e-06
8,9,1,1.0,0.3675767768359536,1.0,-6.779815980849139e-06
8,12,1,1.0,0.3679528751139068,1.0,7.24800352636087e-07
8,24,1,1.0,0.36760519474659514,1.0,1.128855466033587e-05
20,21,1,1.0,0.2,0.2,-0.27270168992530125
20,24,1,1.0,0.07400817668396419,0.2,-9.876136493476107e-06
20,36,1,1.0,0.2,0.2,0.27272203346635404
9,10,1,1.0,1e-06,0.0,-1.2560680625748829e-06
